G_CS,C,D1,D2,Th,stable,n_fp
4.800000000000001,0.010240851018478415,0.05844178064012721,0.05844178064012692,0.009971825220807232,0,3
4.800000000000001,0.009628575987205039,0.04403177297127943,0.07082341914620978,0.007351043733356119,1,3
4.800000000000001,0.013873956139564768,0.16205136624466995,0.011543354889401732,0.02293326263648258,1,3
4.9,0.010242029958761962,0.058471024489115224,0.058471024489115876,0.009976721965823098,0,3
4.9,0.009623236719258731,0.043900903262245036,0.07100452766512076,0.007327478522020932,1,3
4.9,0.013879632389324811,0.16236632105443977,0.011493618809317489,0.022950792751369062,1,3
5.0,0.010243209615675363,0.05850028225980512,0.05850028225980547,0.009981621135031553,0,3
5.0,0.009617934134947671,0.04377076451074704,0.07118530297365049,0.007304062526584548,1,3
5.0,0.013885266873791212,0.16268055758729824,0.01144422327367484,0.022968186994939004,1,3
5.1000000000000005,0.010244389989489653,0.05852955396049908,0.05852955396049879,0.00998652272867847,0,3
5.1000000000000005,0.00961266782802319,0.0436413487193685,0.07136574886618882,0.007280794200269765,1,3
5.1000000000000005,0.013890860036722847,0.1629940837407132,0.01139516435773161,0.022985446894397032,1,3
5.2,0.01024557108047542,0.05855883959950286,0.058558839599503025,0.00999142674700722,0,3
5.2,0.009607437399162914,0.04351264803351021,0.07154586906738218,0.007257672021829012,1,3
5.2,0.013896412314686675,0.16330690726915,0.011346438207240886,0.023002573951257835,1,3
5.300000000000001,0.010246752888902921,0.05858813918512784,0.058588139185128056,0.009996333190259124,0,3
5.300000000000001,0.009602242455804622,0.043384654737841644,0.0717256672338795,0.007234694494937973,1,3
5.300000000000001,0.013901924137224056,0.1636190357876361,0.011298041036696599,0.02301956964195948,1,3
5.4,0.010247935415041957,0.05861745272568819,0.0586174527256886,0.010001242058672895,0,3
5.4,0.009597082611985375,0.04325736125286573,0.07190514695602186,0.007211860147608261,1,3
5.4,0.01390739592701824,0.16393047677518466,0.011249969127641226,0.023036435418447743,1,3
5.5,0.010249118659162091,0.058646780229506736,0.058646780229499575,0.010006153352485676,0,3
5.5,0.009591957488185298,0.04313076013158472,0.0720843117594858,0.007189167531616978,1,3
5.5,0.01391282810004664,0.1642412375781247,0.011202218827024008,0.02305317270875438,1,3
5.6000000000000005,0.010250302621531883,0.05867612170489312,0.058676121704893176,0.010011067071929202,0,3
5.6000000000000005,0.009586866711176575,0.04300484405628161,0.07226316510686386,0.007166615221955636,1,3
5.6000000000000005,0.013918221065738675,0.1645513254133465,0.011154786545605023,0.023069782917550765,1,3
5.7,0.010251487302420337,0.05870547716018607,0.0587054771601859,0.010015983217237213,0,3
5.7,0.009581809913876287,0.04287960583538143,0.07244171039921568,0.007144201816292192,1,3
5.7,0.01392357522712096,0.16486074737138945,0.011107668756422273,0.02308626742668468,1,3
5.800000000000001,0.010252672702095534,0.05873484660371261,0.058734846603710415,0.010020901788638308,0,3
5.800000000000001,0.009576786735203692,0.042755038400412726,0.07261995097756822,0.007121925934449798,1,3
5.800000000000001,0.013928890980964179,0.16516951041952635,0.011060861993285492,0.02310262759570585,1,3
5.9,0.01025385882082498,0.05876423004380281,0.058764230043803045,0.010025822786358411,0,3
5.9,0.009571796819946956,0.042631134803180606,0.07279789012425258,0.007099786217923614,1,3
5.9,0.013934168717921237,0.16547762140464956,0.011014362849339022,0.023118864762369656,1,3
6.0,0.010255045658876263,0.058793627488798704,0.058793627488799155,0.01003074621062262,0,3
6.0,0.009566839818619612,0.04250788821269336,0.07297553106452828,0.007077781329349018,1,3
6.0,0.01393940882266342,0.1657850870561424,0.010968167975651961,0.0231349802431304,1,3
6.1000000000000005,0.010256233216516204,0.05882303894704072,0.058823038947041224,0.01003567206165249,0,3
6.1000000000000005,0.009561915387340256,0.04238529191262684,0.07315287696771933,0.007055909952069814,1,3
6.1000000000000005,0.013944611674012833,0.16609191398863768,0.01092227407985734,0.02315097533361815,1,3
6.2,0.01025742149401129,0.058852464426874695,0.058852464426874536,0.010040600339667435,0,3
6.2,0.009557023187701503,0.04226333929852992,0.07332993094864722,0.007034170789655659,1,3
6.2,0.013949777645068825,0.16639810870469587,0.010876677924830044,0.023166851309102617,1,3
6.300000000000001,0.010258610491627526,0.058881903936648966,0.05888190393664933,0.010045531044884174,0,3
6.300000000000001,0.009552162886648601,0.042142023875251955,0.07350669606888303,0.007012562565459502,1,3
6.300000000000001,0.013954907103334071,0.1667036775973958,0.010831376327408469,0.023182609424941995,1,3
6.4,0.010259800209630564,0.05891135748471716,0.05891135748471855,0.010050464177517263,0,3
6.4,0.00954733415636069,0.04202133925442339,0.07368317533798675,0.006991084022183875,1,3
6.4,0.01396000041083407,0.16700862695287502,0.010786366157145191,0.02319825091702136,1,3
